,X,Y,Lipid Type,resid,Order
0,340.19,518.51,DAPE,288,DOPC CHOL
1,275.29,543.05005,DAPE,289,DOPC CHOL
2,434.33002,438.78002999999995,DAPE,290,DOPC CHOL
3,95.87001,58.33,DAPE,291,DOPC CHOL
4,432.15,371.04,DAPE,292,DOPC CHOL
5,210.54001,2242.87,DAPE,293,DOPC CHOL
6,286.03,2203.55,DAPE,294,DOPC CHOL
7,431.2,243.34001,DAPE,295,DOPC CHOL
8,2275.6401,433.42004000000003,DAPE,296,DOPC CHOL
9,515.63,482.2,DAPE,297,DOPC CHOL
10,169.83002,275.29,DAPE,298,DOPC CHOL
11,47.340004,160.87,DAPE,299,DOPC CHOL
12,301.87003,499.7,DAPE,300,DOPC CHOL
13,558.59,256.94003,DAPE,301,DOPC CHOL
14,485.67,141.95001000000002,DAPE,302,DOPC CHOL
15,84.06,2262.6,DAPE,303,DOPC CHOL
16,310.40002000000004,444.31003,DAPE,304,DOPC CHOL
17,253.33002000000002,89.38000500000001,DAPE,305,DOPC CHOL
18,546.62,124.13001000000001,DAPE,306,DOPC CHOL
19,292.62,499.87003,DAPE,307,DOPC CHOL
20,88.8,446.29,DAPE,308,DOPC CHOL
21,245.61002000000002,114.47,DAPE,309,DOPC CHOL
22,145.36,176.60002,DAPE,310,DOPC CHOL
23,342.86005,304.68002,DAPE,311,DOPC CHOL
24,299.04,419.13,DAPE,312,DOPC CHOL
25,403.84002999999996,245.51001000000002,DAPE,313,DOPC CHOL
26,388.24002,492.63,DAPE,314,DOPC CHOL
27,91.93001,1.8700001,DAPE,315,DOPC CHOL
28,159.73001000000002,7.91,DAPE,316,DOPC CHOL
29,373.72003,509.57,DAPE,317,DOPC CHOL
30,114.15001000000001,20.42,DAPE,318,DOPC CHOL
31,40.2,406.58002,DAPE,319,DOPC CHOL
32,2219.6401,292.83002,DAPE,320,DOPC CHOL
33,122.88000500000001,2235.03,DAPE,321,DOPC CHOL
34,233.56001,265.44,DAPE,322,DOPC CHOL
35,343.24002,372.44003,DAPE,323,DOPC CHOL
36,2228.83,322.67,DAPE,324,DOPC CHOL
37,272.56,247.67001000000002,DAPE,325,DOPC CHOL
38,146.02,0.41000003,DAPE,326,DOPC CHOL
39,39.38,11.01,DAPE,327,DOPC CHOL
40,504.51004000000006,166.28,DAPE,328,DOPC CHOL
41,136.15001,294.03002999999995,DAPE,329,DOPC CHOL
42,438.66,10.75,DAPE,330,DOPC CHOL
43,391.28002999999995,479.53002999999995,DAPE,331,DOPC CHOL
44,557.73004,577.9200400000001,DAPE,332,DOPC CHOL
45,223.55002000000002,115.700005,DAPE,333,DOPC CHOL
46,283.86002,68.18,DAPE,334,DOPC CHOL
47,6.48,69.64,DAPE,335,DOPC CHOL
48,50.880005,164.71,DAPE,336,DOPC CHOL
49,66.76,264.95,DAPE,337,DOPC CHOL
50,56.170002000000004,340.54,DAPE,338,DOPC CHOL
51,113.310005,37.430004,DAPE,339,DOPC CHOL
52,430.76,376.22003,DAPE,340,DOPC CHOL
53,113.270004,76.0,DAPE,341,DOPC CHOL
54,250.3,229.77002000000002,DAPE,342,DOPC CHOL
55,458.33005,530.58,DAPE,343,DOPC CHOL
56,604.32,241.49002000000002,DAPE,344,DOPC CHOL
57,497.33002,196.82,DAPE,345,DOPC CHOL
58,302.62,375.84002999999996,DAPE,346,DOPC CHOL
59,561.19006,370.35004,DAPE,347,DOPC CHOL
60,550.38,322.95,DAPE,348,DOPC CHOL
61,573.53,170.09001,DAPE,349,DOPC CHOL
62,336.99002,372.31003,DAPE,350,DOPC CHOL
63,407.87003,66.55,DAPE,351,DOPC CHOL
64,217.65001,2236.55,DAPE,352,DOPC CHOL
65,301.38,521.46,DAPE,353,DOPC CHOL
66,140.85,142.46,DAPE,354,DOPC CHOL
