,X,Y,Lipid Type,resid,Order
0,496.1842,417.96932999999996,DOPC,2001,DOPC CHOL
1,57.735237,336.72513,DOPC,2002,DOPC CHOL
2,6.8211455,378.46164,DOPC,2003,DOPC CHOL
3,467.28545999999994,422.46417,DOPC,2004,DOPC CHOL
4,288.3373,66.74355,DOPC,2005,DOPC CHOL
5,119.77795400000001,62.33197,DOPC,2006,Ordered
6,57.901430000000005,459.8959,DOPC,2007,DOPC CHOL
7,195.74286999999998,538.2655599999999,DOPC,2008,Ordered
8,13.315693,370.6266,DOPC,2009,DOPC CHOL
9,224.13751000000002,283.20482999999996,DOPC,2010,DOPC CHOL
10,67.245186,95.61989,DOPC,2011,DOPC CHOL
11,225.99957,125.82294499999999,DOPC,2012,Ordered
12,501.13672,268.85846000000004,DOPC,2013,DOPC CHOL
13,416.7364,22.476025,DOPC,2014,Ordered
14,260.0652,213.93048,DOPC,2015,DOPC CHOL
15,458.37787000000003,376.10864,DOPC,2016,DOPC CHOL
16,508.6076,14.208112,DOPC,2017,Ordered
17,73.856064,427.12827000000004,DOPC,2018,DOPC CHOL
18,262.89092999999997,330.21512,DOPC,2019,DOPC CHOL
19,191.0015,470.96237,DOPC,2020,Ordered
20,257.3679,508.1854,DOPC,2021,DOPC CHOL
21,7.167675999999999,456.21505999999994,DOPC,2022,DOPC CHOL
22,127.92838,212.88662999999997,DOPC,2023,DOPC CHOL
23,440.74377000000004,524.15247,DOPC,2024,Ordered
24,5.666745,176.75394,DOPC,2025,DOPC CHOL
25,100.02796,308.5891,DOPC,2026,DOPC CHOL
26,473.7481,196.82664,DOPC,2027,Ordered
27,248.35013999999998,351.01257000000004,DOPC,2028,DOPC CHOL
28,446.62244000000004,216.15302000000003,DOPC,2029,DOPC CHOL
29,136.4025,237.5361,DOPC,2030,DOPC CHOL
30,214.03562999999997,65.56871,DOPC,2031,Ordered
31,336.59814,75.1646,DOPC,2032,Ordered
32,68.46568,242.03302000000002,DOPC,2033,DOPC CHOL
33,117.43697,405.26852,DOPC,2034,DOPC CHOL
34,66.4927,334.99712999999997,DOPC,2035,Ordered
35,488.98624,278.728,DOPC,2036,DOPC CHOL
36,441.3108,14.188642999999999,DOPC,2037,Ordered
37,162.47894,511.6728,DOPC,2038,DOPC CHOL
38,266.0999,305.6992,DOPC,2039,DOPC CHOL
